AllotmentID,ParticipantID,OwnsAllotment,ParticipatesInGroup
1,1,True,False
2,2,True,True
3,3,True,False
4,4,True,True
5,5,True,False
6,6,True,False
7,7,True,False
8,8,True,True
9,9,True,False
10,10,True,True
11,11,True,False
12,12,True,True
13,13,True,False
14,14,True,False
15,15,True,False
16,16,True,False
17,17,True,True
18,18,True,False
19,19,True,True
20,20,True,False
21,21,True,False
22,22,True,False
23,23,True,False
24,24,True,False
25,25,True,False
26,26,True,False
27,27,True,False
28,28,True,False
29,29,True,False
30,30,True,False
31,31,True,False
32,32,True,True
33,33,True,False
34,34,True,True
35,35,True,False
36,36,True,False
37,37,True,False
38,38,True,False
39,39,True,True
40,40,True,False
41,41,True,False
42,42,True,True
43,43,True,False
44,44,True,True
45,45,True,False
46,46,True,False
47,47,True,False
48,48,True,True
49,49,True,False
50,50,True,False
51,51,True,False
52,52,True,False
53,53,True,False
54,54,True,False
55,55,True,False
56,56,True,False
57,57,True,True
58,58,True,False
59,59,True,True
60,60,True,True
61,61,True,False
62,62,True,False
63,63,True,False
64,64,True,False
65,65,True,False
66,66,True,True
67,67,True,False
68,68,True,False
69,69,True,False
70,70,True,False
71,71,True,False
72,72,True,False
73,73,True,True
74,74,True,False
75,75,True,False
76,76,True,False
77,77,True,True
78,78,True,True
79,79,True,False
80,80,True,False
81,81,True,True
82,82,True,False
83,83,True,False
84,84,True,False
85,85,True,False
86,86,True,False
87,87,True,False
88,88,True,True
89,89,True,False
90,90,True,False
91,91,True,False
92,92,True,False
93,93,True,True
94,94,True,False
95,95,True,False
96,96,True,True
97,97,True,False
98,98,True,False
99,99,True,False
100,100,True,False
101,101,True,False
102,102,True,False
103,103,True,False
104,104,True,False
105,105,True,False
106,106,True,True
107,107,True,True
108,108,True,False
109,109,True,False
110,110,True,False
111,111,True,False
112,112,True,False
113,113,True,True
114,114,True,False
115,115,True,False
116,116,True,False
117,117,True,True
118,118,True,False
119,119,True,False
120,120,True,False
121,121,True,False
122,122,True,False
123,123,True,False
124,124,True,True
125,125,True,False
126,126,True,False
127,127,True,False
128,128,True,True
129,129,True,False
130,130,True,False
131,131,True,False
132,132,True,True
133,133,True,False
134,134,True,False
135,135,True,True
136,136,True,False
137,137,True,False
138,138,True,True
139,139,True,False
140,140,True,False
141,141,True,False
142,142,True,True
143,143,True,True
144,144,True,True
145,145,True,False
146,146,True,True
147,147,True,False
148,148,True,True
149,149,True,True
150,150,True,False
151,151,True,False
152,152,True,False
153,153,True,True
154,154,True,False
155,155,True,False
156,156,True,False
157,157,True,False
158,158,True,False
159,159,True,False
160,160,True,False
161,161,True,False
162,162,True,False
163,163,True,False
164,164,True,False
165,165,True,False
166,166,True,False
167,167,True,False
168,168,True,False
169,169,True,False
170,170,True,True
171,171,True,False
172,172,True,True
173,173,True,True
174,174,True,True
175,175,True,True
176,176,True,True
177,177,True,True
178,178,True,False
179,179,True,True
180,180,True,False
181,181,True,True
182,182,True,False
183,183,True,False
184,184,True,False
185,185,True,False
186,186,True,True
187,187,True,True
188,188,True,False
189,189,True,False
190,190,True,False
191,191,True,True
192,192,True,False
193,193,True,True
194,194,True,False
195,195,True,False
196,196,True,False
197,197,True,False
198,198,True,True
199,199,True,False
200,200,True,False
201,201,True,False
202,202,True,False
203,203,True,True
204,204,True,False
205,205,True,True
206,206,True,True
207,207,True,False
208,208,True,False
209,209,True,False
210,210,True,False
211,211,True,False
212,212,True,True
213,213,True,False
214,214,True,False
215,215,True,True
216,216,True,True
217,217,True,True
218,218,True,False
219,219,True,False
220,220,True,False
221,221,True,False
222,222,True,False
223,223,True,False
224,224,True,False
225,225,True,False
226,226,True,True
227,227,True,False
228,228,True,False
229,229,True,False
