ParticipantID,QuestionID,AnswerValue
1,1,34.0
1,2,British
1,3,5.0
1,4,"Walks, gardening"
1,5,2
1,6,1.0
1,7,2.0
1,8,4.0
1,9,4.0
1,10,4.0
1,11,3.0
1,12,4.0
1,13,4.0
1,14,4.0
1,15,2.0
1,16,2.0
1,17,2.0
1,18,5.0
1,19,5.0
1,20,5.0
1,21,5.0
1,22,5.0
1,23,5.0
1,24,4.0
1,25,4.0
1,26,5.0
1,27,4.0
1,28,2.0
1,29,3.0
1,30,1.0
1,31,1.0
1,32,2.0
1,33,3.0
1,34,4.0
1,35,4.0
1,36,4.0
1,37,4.0
1,38,3.0
1,39,2.0
1,40,2.0
1,41,3.0
1,42,2.0
2,1,47.0
2,2,English
2,3,12.0
2,4,Allotment
2,5,1
2,6,1.0
2,7,1.0
2,8,3.0
2,9,4.0
2,10,4.0
2,11,4.0
2,12,4.0
2,13,4.0
2,14,5.0
2,15,4.0
2,16,2.0
2,17,1.0
2,18,4.0
2,19,4.0
2,20,5.0
2,21,5.0
2,22,4.0
2,23,5.0
2,24,5.0
2,25,6.0
2,26,7.0
2,27,5.0
2,28,3.0
2,29,1.0
2,30,2.0
2,31,1.0
2,32,1.0
2,33,3.0
2,34,5.0
2,35,5.0
2,36,6.0
2,37,6.0
2,38,3.0
2,39,4.0
2,40,4.0
2,41,4.0
2,42,4.0
3,1,56.0
3,2,British
3,3,6.0
3,4,"Gardening, allotments, walking"
3,5,2
3,6,1.0
3,7,2.0
3,8,4.0
3,9,4.0
3,10,4.0
3,11,4.0
3,12,4.0
3,13,4.0
3,14,4.0
3,15,4.0
3,16,2.0
3,17,1.0
3,18,4.0
3,19,5.0
3,20,5.0
3,21,0.0
3,22,5.0
3,23,5.0
3,24,6.0
3,25,7.0
3,26,6.0
3,27,6.0
3,28,3.0
3,29,1.0
3,30,2.0
3,31,3.0
3,32,1.0
3,33,3.0
3,34,5.0
3,35,5.0
3,36,4.0
3,37,6.0
3,38,3.0
3,39,3.0
3,40,4.0
3,41,3.0
3,42,2.0
4,1,32.0
4,2,British
4,3,20.0
4,4,"Countryside walks, photography, dog walking, gardening, foraging, allotment"
4,5,2
4,6,1.0
4,7,1.0
4,8,4.0
4,9,4.0
4,10,4.0
4,11,4.0
4,12,4.0
4,13,4.0
4,14,5.0
4,15,3.0
4,16,3.0
4,17,3.0
4,18,5.0
4,19,5.0
4,20,5.0
4,21,5.0
4,22,5.0
4,23,5.0
4,24,6.0
4,25,6.0
4,26,7.0
4,27,7.0
4,28,3.0
4,29,1.0
4,30,1.0
4,31,3.0
4,32,1.0
4,33,3.0
4,34,4.0
4,35,5.0
4,36,5.0
4,37,6.0
4,38,4.0
4,39,4.0
4,40,4.0
4,41,4.0
4,42,3.0
5,1,39.0
5,2,British
5,3,10.0
5,4,Dog walking and gardening
5,5,2
5,6,1.0
5,7,2.0
5,8,4.0
5,9,4.0
5,10,3.0
5,11,4.0
5,12,3.0
5,13,4.0
5,14,4.0
5,15,4.0
5,16,2.0
5,17,2.0
5,18,5.0
5,19,5.0
5,20,5.0
5,21,5.0
5,22,5.0
5,23,5.0
5,24,5.0
5,25,5.0
5,26,5.0
5,27,5.0
5,28,3.0
5,29,3.0
5,30,3.0
5,31,1.0
5,32,2.0
5,33,3.0
5,34,4.0
5,35,3.0
5,36,7.0
5,37,5.0
5,38,2.0
5,39,3.0
5,40,3.0
5,41,3.0
5,42,3.0
6,1,48.0
6,2,British
6,3,6.0
6,4,"Gardening, walking"
6,5,2
6,6,1.0
6,7,2.0
6,8,4.0
6,9,5.0
6,10,3.0
6,11,4.0
6,12,4.0
6,13,3.0
6,14,5.0
6,15,3.0
6,16,4.0
6,17,4.0
6,18,4.0
6,19,4.0
6,20,4.0
6,21,4.0
6,22,3.0
6,23,4.0
6,24,2.0
6,25,2.0
6,26,2.0
6,27,1.0
6,28,3.0
6,29,2.0
6,30,3.0
6,31,3.0
6,32,1.0
6,33,3.0
6,34,4.0
6,35,4.0
6,36,4.0
6,37,4.0
6,38,3.0
6,39,3.0
6,40,4.0
6,41,4.0
6,42,3.0
7,1,44.0
7,2,British
7,3,21.0
7,4,"Walking my dogs, gardening, allotment, walks in the woods"
7,5,2
7,6,1.0
7,7,2.0
7,8,4.0
7,9,4.0
7,10,4.0
7,11,3.0
7,12,4.0
7,13,4.0
7,14,4.0
7,15,2.0
7,16,2.0
7,17,2.0
7,18,5.0
7,19,5.0
7,20,5.0
7,21,5.0
7,22,5.0
7,23,5.0
7,24,5.0
7,25,5.0
7,26,5.0
7,27,5.0
7,28,3.0
7,29,3.0
7,30,3.0
7,31,3.0
7,32,2.0
7,33,1.0
7,34,3.0
7,35,3.0
7,36,3.0
7,37,3.0
7,38,3.0
7,39,2.0
7,40,3.0
7,41,3.0
7,42,3.0
8,1,62.0
8,2,British
8,3,18.0
8,4,"Allotment gardening , fishing and shooting"
8,5,1
8,6,1.0
8,7,1.0
8,8,4.0
8,9,4.0
8,10,4.0
8,11,4.0
8,12,3.0
8,13,3.0
8,14,4.0
8,15,3.0
8,16,4.0
8,17,4.0
8,18,3.0
8,19,4.0
8,20,4.0
8,21,5.0
8,22,4.0
8,23,4.0
8,24,5.0
8,25,5.0
8,26,6.0
8,27,6.0
8,28,3.0
8,29,3.0
